epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,16971.7,0.64965,0.41036,0.86773,0.91079,0.85387,0.93315,0.75591,0.58016,0.34501,0.8458,0.0070894,0.0070894,0.0070894
149,17357,0.65105,0.41145,0.86667,0.91515,0.85565,0.93376,0.75716,0.5795,0.34425,0.84553,0.0070696,0.0070696,0.0070696
150,17742.3,0.64819,0.41053,0.86729,0.91806,0.85432,0.93397,0.75718,0.57881,0.34345,0.84523,0.0070498,0.0070498,0.0070498
151,18127.1,0.64824,0.4092,0.86845,0.91674,0.85514,0.93423,0.75775,0.57814,0.34278,0.84499,0.00703,0.00703,0.00703
152,18511.8,0.65114,0.40981,0.86888,0.91906,0.8555,0.93454,0.75818,0.57741,0.34219,0.84475,0.0070102,0.0070102,0.0070102
153,18896.6,0.64214,0.40578,0.8654,0.92086,0.85502,0.93494,0.75853,0.57668,0.34182,0.84443,0.0069904,0.0069904,0.0069904
154,19281.9,0.64722,0.40962,0.8677,0.92208,0.85558,0.93534,0.75912,0.57607,0.34135,0.84426,0.0069706,0.0069706,0.0069706
155,19666.7,0.64489,0.40678,0.86663,0.92207,0.85551,0.93563,0.75938,0.57547,0.34085,0.84401,0.0069508,0.0069508,0.0069508
156,20051.6,0.64166,0.40261,0.86556,0.92493,0.85409,0.936,0.75978,0.57488,0.34019,0.84379,0.006931,0.006931,0.006931
157,20436.3,0.64253,0.40498,0.86389,0.9253,0.85444,0.93593,0.76016,0.57435,0.33953,0.84361,0.0069112,0.0069112,0.0069112
158,20821,0.64147,0.40143,0.86529,0.92471,0.85467,0.93685,0.76035,0.57373,0.33902,0.84342,0.0068914,0.0068914,0.0068914
159,21205.7,0.63576,0.39783,0.86449,0.92379,0.8553,0.93702,0.76071,0.57304,0.33837,0.84325,0.0068716,0.0068716,0.0068716
160,21590.5,0.64267,0.40395,0.86552,0.92426,0.8543,0.93735,0.76088,0.57244,0.33789,0.84304,0.0068518,0.0068518,0.0068518
161,21975.3,0.63781,0.40188,0.86497,0.92396,0.85638,0.93752,0.76216,0.57184,0.33742,0.84287,0.006832,0.006832,0.006832
162,22359.9,0.63844,0.40032,0.86705,0.92378,0.85549,0.93719,0.76287,0.57109,0.33691,0.84257,0.0068122,0.0068122,0.0068122
163,22745.2,0.63502,0.39755,0.86109,0.92645,0.85525,0.93748,0.76423,0.57033,0.33643,0.84232,0.0067924,0.0067924,0.0067924
164,23129.8,0.63858,0.40195,0.86529,0.92724,0.85424,0.93756,0.76583,0.56967,0.33595,0.84207,0.0067726,0.0067726,0.0067726
165,23514.4,0.63147,0.39551,0.86169,0.92693,0.85514,0.93779,0.76618,0.569,0.33552,0.84188,0.0067528,0.0067528,0.0067528
166,23899,0.63543,0.40013,0.86362,0.92865,0.85525,0.93817,0.76683,0.56836,0.33475,0.84165,0.006733,0.006733,0.006733
167,24283.7,0.63323,0.39808,0.86521,0.92833,0.85661,0.93846,0.76717,0.56766,0.33417,0.84145,0.0067132,0.0067132,0.0067132
168,24668.4,0.63193,0.39585,0.86735,0.92807,0.85721,0.93876,0.76734,0.567,0.33357,0.84127,0.0066934,0.0066934,0.0066934
169,25052.9,0.63106,0.39505,0.8624,0.93054,0.85707,0.93895,0.76776,0.56633,0.33293,0.84112,0.0066736,0.0066736,0.0066736
170,25437.5,0.63052,0.39258,0.86209,0.93058,0.85871,0.93937,0.76842,0.56569,0.33238,0.84091,0.0066538,0.0066538,0.0066538
171,25822.1,0.63168,0.39312,0.86222,0.93057,0.85882,0.93964,0.76874,0.56499,0.33184,0.84069,0.006634,0.006634,0.006634
172,26206.5,0.62905,0.39157,0.85995,0.93186,0.85859,0.93978,0.76923,0.56433,0.33141,0.84048,0.0066142,0.0066142,0.0066142
173,26591,0.62772,0.39068,0.86137,0.93062,0.85882,0.9401,0.7693,0.5637,0.33097,0.8403,0.0065944,0.0065944,0.0065944
174,26975.8,0.62584,0.39137,0.86032,0.93419,0.85845,0.94026,0.76949,0.56311,0.3305,0.84012,0.0065746,0.0065746,0.0065746
175,27360.5,0.62708,0.39194,0.85875,0.93496,0.85818,0.9405,0.76958,0.56261,0.33009,0.83993,0.0065548,0.0065548,0.0065548
176,27745.2,0.62401,0.38886,0.85987,0.93572,0.85927,0.94075,0.77078,0.56205,0.32962,0.83977,0.006535,0.006535,0.006535
177,28130.7,0.62275,0.38739,0.8607,0.93738,0.86053,0.94093,0.77103,0.56143,0.32909,0.83956,0.0065152,0.0065152,0.0065152
178,28515.3,0.61941,0.39059,0.86088,0.93156,0.86411,0.94112,0.77161,0.56083,0.32844,0.83934,0.0064954,0.0064954,0.0064954
179,28900.1,0.62253,0.38782,0.85849,0.93577,0.86272,0.9412,0.77177,0.56038,0.32804,0.8392,0.0064756,0.0064756,0.0064756
180,29284.9,0.62312,0.38559,0.86099,0.9384,0.86149,0.94134,0.77258,0.55981,0.32758,0.83898,0.0064558,0.0064558,0.0064558
181,29669.8,0.62265,0.38798,0.86014,0.9382,0.86154,0.94161,0.77287,0.55918,0.32703,0.83878,0.006436,0.006436,0.006436
182,30054.6,0.62085,0.3838,0.85964,0.93951,0.86226,0.94184,0.77332,0.55854,0.32656,0.83856,0.0064162,0.0064162,0.0064162
183,30439.3,0.61547,0.38178,0.85648,0.93095,0.86678,0.94205,0.77401,0.55802,0.32602,0.83839,0.0063964,0.0063964,0.0063964
184,30824,0.61256,0.37999,0.85309,0.93095,0.86657,0.94221,0.77481,0.55742,0.32559,0.83816,0.0063766,0.0063766,0.0063766
