epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,28858.3,0.70728,0.46051,0.88988,0.87063,0.81526,0.89208,0.69681,0.64729,0.40477,0.87181,0.002179,0.002179,0.002179
81,29269.2,0.71378,0.46481,0.89235,0.88157,0.80651,0.89404,0.69884,0.64701,0.4035,0.87157,0.00208,0.00208,0.00208
82,29680.3,0.70047,0.45619,0.88814,0.87591,0.81157,0.89469,0.70051,0.64598,0.40272,0.87112,0.001981,0.001981,0.001981
83,30091.4,0.70083,0.45677,0.8908,0.88121,0.80835,0.89518,0.70115,0.64455,0.4015,0.87091,0.001882,0.001882,0.001882
84,30503,0.69696,0.4549,0.88682,0.88009,0.81272,0.89608,0.70213,0.64285,0.39999,0.87028,0.001783,0.001783,0.001783
85,30914.5,0.6939,0.44923,0.88728,0.87992,0.81376,0.89631,0.70299,0.64108,0.3991,0.86957,0.001684,0.001684,0.001684
86,31326.2,0.68931,0.44668,0.8844,0.88417,0.81617,0.89639,0.70391,0.63995,0.39801,0.86907,0.001585,0.001585,0.001585
87,31738,0.68877,0.44476,0.88546,0.88191,0.81944,0.89688,0.70488,0.63869,0.39687,0.86861,0.001486,0.001486,0.001486
88,32149.8,0.6874,0.443,0.8826,0.88399,0.81586,0.89771,0.70568,0.63751,0.39586,0.86807,0.001387,0.001387,0.001387
89,32562,0.6874,0.44155,0.88471,0.88215,0.81506,0.89812,0.70644,0.63676,0.39497,0.86774,0.001288,0.001288,0.001288
90,32973.8,0.68084,0.43728,0.88217,0.88084,0.81433,0.89831,0.70654,0.63618,0.39394,0.8674,0.001189,0.001189,0.001189
91,33395.7,0.66379,0.4107,0.86798,0.87749,0.81907,0.89848,0.70698,0.63593,0.39318,0.86703,0.00109,0.00109,0.00109
92,33806.7,0.65998,0.40562,0.86507,0.87982,0.8217,0.89914,0.70699,0.63531,0.39253,0.86659,0.000991,0.000991,0.000991
93,34217.6,0.65064,0.39993,0.86282,0.88156,0.82132,0.89969,0.70775,0.6345,0.39163,0.86621,0.000892,0.000892,0.000892
94,34628.6,0.65002,0.39721,0.86244,0.88405,0.82009,0.9001,0.70784,0.63373,0.39082,0.86572,0.000793,0.000793,0.000793
95,35039.8,0.64666,0.39476,0.8618,0.88628,0.82211,0.89996,0.70843,0.63297,0.38987,0.86539,0.000694,0.000694,0.000694
96,35444.9,0.64027,0.39305,0.86151,0.88663,0.82027,0.90045,0.7096,0.63241,0.38897,0.86513,0.000595,0.000595,0.000595
97,35837.5,0.63721,0.38923,0.85896,0.88619,0.82186,0.90089,0.7108,0.63188,0.38827,0.86484,0.000496,0.000496,0.000496
98,36231.4,0.63933,0.38883,0.86068,0.88238,0.82016,0.90109,0.71136,0.63119,0.38774,0.86449,0.000397,0.000397,0.000397
99,36625.7,0.63516,0.38533,0.85704,0.88013,0.82153,0.90129,0.71135,0.6306,0.38707,0.86417,0.000298,0.000298,0.000298
100,37020.7,0.63193,0.38476,0.85809,0.8813,0.82155,0.9016,0.7118,0.63004,0.3863,0.86391,0.000199,0.000199,0.000199
